"courseCode","courseName","courseCredit","courseCategory","courseAvailability","descriptions","created_at","updated_at"
"LMCR1342","PENULISAN LAPORAN KAJIAN","2","C3","","Kursus ini membincangkan penulisan laporan kajian yang menjadi keperluan dalam dunia akademik. Seterusnya, perbincangan dalam kursus ini menyentuh mengenai pencarian maklumat secara efektif dalam mendapatkan bahan untuk tujuan penulisan akademik. Seterusnya, kursus ini turut menerangkan secara mendalam mengenai penulisan laporan, sama ada dalam bentuk kuantitatif dan juga kualitataif. Selain itu, pembentangan berkesan turut disentuh. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk pengalaman pembelajaran dan pembelajaran berasaskan masalah.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1412","PENGURUSAN PROGRAM BERIMPAK","2","C4","","Kursus ini bertujuan untuk memberi pendedahan dan latihan kepada pelajar tentang hal-hal berkaitan dengan pengurusan sesebuah persatuan/organisasi (termasuk persatuan dalam dan luar kampus yang berdaftar secara rasmi). Selain itu, pelajar juga akan diberi pendedahan tentang prosedur kelulusan mengadakan program, tata cara penyediaan kertas kerja mengadakan program, mengurus penjanaan kewangan, membina jaringan, mengurus protokol dan etiket, membina kemahiran komunikasi dan kerja berpasukan dan menyediakan dokumentasi pelaporan akhir projek. Pelajar juga akan didedahkan dengan pendekatan Strategi Lautan Biru (BOS) di dalam perancangan dan pelaksanaan program. Pelajar dikehendaki menjalankan aktiviti simulasi program sama ada dalam atau luar kampus. Pelajar digalakkan untuk melaksanakan program yang berimpak tinggi yang boleh memberi kesan kepada Negara, Universiti dan masyarakat. Melalui pengurusan organisasi ini akan dapat memberi nilai tambah kepada diri pelajar dan menerapkan pembelajaran sepanjang hayat yang boleh diaplikasikan setelah pelajar bergraduat.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1422","PENGURUSAN MASJID I","2","C4","","Kursus ini menghuraikan konsep asas masjid dan menjelaskan konsep komunikasi dakwah menerusi masjid. Ia akan membincangkan pendekatan yang terbaik untuk dakwah menerusi masjid dan menganalisis pendekatan masjid dalam dunia kontemporari. Selain itu, ia akan menganalisis aktiviti-aktiviti dakwah yang selalu dilaksanakan di masjid. Kulaih akan disampaikan secara kuliah dan perbincangan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1423","PERKHIDMATAN PERNIAGAAN GLOBAL","3","C4","","Kursus ini memperkenalkan Industri Perkongsian Perkhidmatan Global (Global Shared Services) kepada bakal graduan dari berbagai latar belakang pengajian yang ingin memahami industri ini dengan lebih mendalam. Kuliah pada awal minggu pertama akan diberikan oleh pakar dalam industri seperti Ketua Pengarah Eksekutif dari firma yang terpilih untuk memberi gambaran sebenar tentang industri dan budaya kerja/ perniagaan. Kuliah pada minggu kedua dan ketiga adalah dalam bentuk bengkel dua hari bersama pakar dari industri yang menekankan secara terperinici pengurusan proses perkhidmatan, projek transisi, pengurusan perubahan, pengurusan risiko dan kualiti dalam empat perkhidmatan utama iaitu kewangan dan perakaunan, sumber manusia, teknologi maklumat dan Big Data Analytics. Pada minggu seterusnya, pelajar akan melaksanakan kajian kes melalui tugasan berkumpulan dalam konteks industri sebenar di firma terpilih supaya dapat menggunapakai konsep-konsep perakaunan, kewangan, sumber manusia, teknologi maklumat atau Big Data Analytics secara praktis untuk menyelesaikan masalah secara kritis. Secara tidak langsung, pelajar dapat meningkatkan kemahiran pemikiran kritis untuk mengenal pasti tindakan tepat bagi melaksanakan tugas yang diamanahkan. Ini dapat mempersiapkan pelajar menghadapi cabaran dan meningkatkan peluang pekerjaan dalam industri perkongsian perkhidmatan global.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1432","PENGIKLANAN KREATIF","2","C4","","Kursus ini bertujuan untuk menyediakan pelajar dengan kemahiran menjana pelbagai idea kreatif yang boleh diterjemahkan ke dalam bentuk pengiklanan yang inovatif. Dalam menguasai bidang pengiklanan ini, pelajar juga akan didedahkan dengan komunikasi visual, pemikiran kreatif, penulisan pengiklanan serta pengarahan seni. Disamping itu pelajar juga didedahkan dengan penggunaan teknologi grafik dalam penghasilan sebuah pengiklanan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1452","KEUSAHAWANAN SOSIAL","2","C4","","Kursus ini ditawarkan kepada pelajar yang ingin meneroka keusahawanan sosial sebagai penyelesaian kepada isu-isu semasa di sekeliling mereka. Pelajar mengaplikasikan teori keusahawanan sosial kepada isu yang telah mereka kenal pasti dan mencadangkan cara teori ini diaplikasikan dalam sistem sosial mereka. Pelajar juga akan mengurus satu projek keusawanan sosial berdasarkan kertas cadangan yang telah dibentangkan. Pengajaran dan pembelajaran dilaksanakan dalam bentuk perkongsian pengalaman pembelajaran, pembelajaran berdasarkan masalah dan kes, serta pembelajaran berpaksikan hasilan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1462","PENGURUSAN PROJEK","2","C4","","Tujuan kursus pengenalan ini ialah memperkenalkan konsep-konsep, ciri-ciri, prinsip-prinsip dan etika pengurusan projek yang berteraskan Project Management Institute Body of Knowledge (PMBOK) kepada pelajar sarjana muda dari pelbagai jurusan. Selain pengurusan projek cara PMI, kursus ini juga memberi pendedahan tentang metodologi pengurusan projek ala “Agile”. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk kuliah, kuiz dalam kelas (secara e-learning), pembelajaran berasaskan masalah, syarahan umum, aktiviti kumpulan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1472","ASAS PENGURUSAN NGO","2","C4","","Kursus ini bertujuan memberikan kemahiran kepada pelajar dalam mengurus sesebuah organisasi bukan kerajaan yang berkait dengan keperluan pembangunan masyarakat. Kemahiran ini membolehkan organisasi mampu bergerak sendiri tanpa arahan dalam mengurus sumber daya manusia. Seseorang penggerak sosial perlu mahir dan mempunyai kesedaran tinggi dalam memahami fungsi utama organisasi yang berbentuk sukarela. Mereka perlu bersifat progresif dan sentiasa peka terhadap taraf hidup yang lebih baik. Tuntutan masyarakat sivil terhadap hak asasi, keadilan sosial dan jaminan kehidupan benar-benar memberikan cabaran besar kepada sektor-sektor yang ada. Melalui kesedaran dan tangungjawab sosial ini, ia boleh mencapai kesejahteraan bersama. Kursus ini membolehkan graduan yang keluar mampu berbakti kepada masyarakat bagi meningkatkan kualiti kehidupan masyarakat secara keseluruhannya.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1482","KURSUS ETIKET DAN PROTOKOL","2","C4","","Program yang dianjurkan oleh Kolej Pendeta Za’ba ini bertujuan untuk memberi pengalaman kepada mahasiswa berkaitan dengan etika dan protokol majlis rasmi dan tidak rasmi. Di samping itu, penganjuran ini juga menerapkan kemahiran sosial sekaligus memperbaiki gaya kepimpinan mahasiswa dalam kerja berkumpulan. Kemahiran komunikasi juga dapat diperbaiki melalui pengalaman dalam berurusan dengan pelbagai lapisan masyarakat dalam proses menganjurkan program ini. Pengalaman yang diperoleh daripada penganjuran program ini dapat memberi nilai tambah kepada mahasiswa untuk digunakan pada masa akan datang bagi memenuhi kehendak industri.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1492","KURSUS KEMAHIRAN USAHA NIAGA","2","C4","","Program ini diadakan dengan tujuan untuk mendidik mahasiswa mengenai usaha niaga serta memupuk mereka dengan budaya berniaga, bijak mengambil peluang, mengambil risiko dan berinovasi. Ia juga mampu melahirkan modal insan yang berkebolehan dan berdaya saing dalam keusahawanan. Domian pembelajaran keusahawanan merangkumi aspek keperibadian dan kerja berkumpulan yang cemerlang dari segi akademik dan personaliti. Program ini akan melibatkan tiga kaedah dalam kemahiran keusahawanan iaitu pembelajaran dan pengajaran, program sokongan dan budaya kehidupan di kampus. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk pengalaman pembelajaran, pembelajaran berasaskan masalah, dan Service Learning.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1512","ASAS PENGURUSAN BENCANA","2","C5","","Bencana merupakan peristiwa yang mengancam dan mengganggu kehidupan masyarakat yang disebabkan oleh faktor alam ataupun bukan alam sehingga menyebabkan kemusnahan persekitaran, kerugian harta benda, kematian, kecederaan dan kesan psikososial. Setiap individu harus bersedia menghadapi sebarang kejadian berkontingen. Pengetahuan asas mengenai bencana dan pengurusannya adalah perlu ada dalam diri setiap pelajar. Kursus ini memberi pendedahan kepada bencana dan kaedah serta langkah pengurusan bencana.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1522","AGROPRENEUR DALAM KOMUNITI","2","C5","","Kursus ini akan memperkenalkan kepada para pelajar konsep keusahawanan dalam pertanian. Pelajar juga akan mengaplikasi teknologi pertanian terkini yang digunakan untuk meningkatkan hasil pertanian. Dalam kursus ini, penekanan akan diberikan kepada konsep dan prinsip keusahawanan melalui penggunaan teknologi pertanian yang diamalkan di Malaysia. Teknologi pertanian fertigasi dan hidroponik merupakan platform yang akan digunakan. Pelajar berpeluang untuk merancang dan melaksanakan teknologi pertanian yang berasaskan fertigasi dan hidroponik ini. Pelajar juga akan memahami fungsi sains dan teknologi serta impak kepada pertanian di peringkat global.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1532","TEKNOLOGI HIJAU DAN KEMAMPANAN LESTARI","2","C5","","Kursus ini memperkenalkan pelajar kepada pendekatan yang sedia ada dengan menggabungkan pertimbangan alam sekitar ke dalam perancangan perniagaan. Pendekatan ini juga melibatkan penyusunan, kepimpinan, pengawalan, pengurusan strategik dan penambahbaikan dalam organisasi. Tumpuan khusus diberikan untuk mengenal pasti dan menguruskan keseimbangan antara persekitaran dan matlamat perniagaan. Kursus ini juga meneroka prinsip saintifik dan teknikal utama yang mendasari teknologi alam sekitar dan amalan kontemporari. Kursus ini akan melengkapkan pelajar dengan pengetahuan mengenai isu-isu pembangunan dan alam sekitar. Pelajar juga akan memahami fungsi sains dan teknologi serta tanggungjawab pelbagai kuasa di peringkat global.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1542","KURSUS ETNOBOTANIKAL","2","C5","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1552","POWERPOINT KREATIF","2","C5","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1562","DRON UNTUK FOTOGRAFI ARIAL","2","C5","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1572","MANFAAT DAN RISIKO PRODUK HASILAN SEMULAJADI","2","C5","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1582","TEKNOLOGI ANGKASA","2","C5","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1602","SOSIALISASI SUKAN DAN GAYA HIDUP","2","C6","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1612","PENGAWALAN BERAT BADAN 1","2","C6","","Kursus ini bertujuan mendedahkan pelajar kepada kepentingan mencapai berat badan yang ideal. Pelajar akan melalui proses saringan kesihatan untuk mendapatkan tahap kesihatan dan kecergasan mereka sebelum memulakan kursus. Pelajar akan didedahkan dengan ilmu-ilmu asas berkenaan kesihatan diri dan obesiti, di samping memahami aspek bio-psiko-sosial yang akan mempengaruhi keupayaan mereka untuk menurunkan berat badan. Ilmu berkenaan nutrisi, senaman dan motivasi diri akan dibincangkan dan diaplikasikan dalam sesi perbincangan dan latihan dalam kumpulan. Pelajar akan dinilai berdasarkan 1) log aktiviti senaman dan pemakanan mereka; 2) kejayaan mereka menurunkan berat badan seperti yang telah ditetapkan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1622","PENGAWALAN BERAT BADAN 2","2","C6","","Kursus ini bertujuan mengembangkan lagi pemahaman pelajar terhadap aspek-aspek kesihatan dan kecergasan yang berterusan. Pelajar akan terus melakukan aktiviti menurun dan mengawal berat badan seperti yang telah dipelajari semasa Semester 1. Di samping itu, pelajar akan didedahkan dengan ilmu berkaitan promosi kesihatan dan kepentingan industri sukan dan kecergasan dalam memupuk amalan cara hidup sihat kepada masyarakat. Kemuncak kursus adalah apabila pelajar berjaya menganjurkan kempen kesedaran kesihatan kepada masyarakat. Pelajar akan dinilai berdasarkan 1) kejayaan mereka menurunkan berat badan; 2) kempen kesedaran kesihatan yang mereka anjurkan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1652","ASAS PENGUBATAN ISLAM","2","C6","","Kursus ini memperkenalkan kepada para pelajar mengenai konsep, falsafah dan latar belakang pengubatan Islam. Melalui kursus ini, para pelajar akan didedahkan kepada kaedah rawatan-rawatan penyakit akibat gangguan jin syaitan. Ikhtiar mengatasi masalah rumit akan turut diberikan penekanan. Huraian tentang sihir dan kaedah rawatan akibat sihir turut dilakukan. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk pengalaman pembelajaran, pembelajaran berasaskan masalah, dan service learning.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1662","KESIHATAN KELUARGA DAN GAYA HIDUP","2","C6","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1672","PENGGUNAAN UBAT YANG BETUL DAN SELAMAT","2","C6","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1682","KURSUS INTERAKSI & RENTAS BUDAYA","2","C6","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1692","INSTITUSI KEKELUARGAAN MUSLIM","2","C6","","Kursus ini bertujuan untuk menerangkan tentang asas membina keluarga muslim. Kursus ini berorientasikan akademik, kajian lapangan dan penilaian berterusan bagi melahirkan pelajar yang mempunyai akhlak, nilai dan jati diri. Melalui kursus ini pelajar akan didedahkan dengan pengetahuan tanggungjawab sosial dalam keluarga dan mengaplikasi hukum dengan semasa. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk pengalaman pembelajaran dan pembelajaran berasaskan masalah (PBL).","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR1923","TEKNOLOGI MAKLUMAT DAN KEUSAHAWANAN","3","WP","","Kursus ini membincangkan konsep, teori dan kemahiran dalam keusahawanan teknologi maklumat kepada pelajar. Antara struktur pengajaran kursus ini merangkumi penjanaan ide perniagaan, kaedah inovasi, analisis saingan, pemasaran produk, kewangan, menilai impak keusahawanan kepada masyarakat, model kanvas perniagaan, kerja berkumpulan, pemikiran kritis dan analisis pasaran. Kursus ini dilaksanakan dalam persekitaran kuliah, perbincangan secara berkumpulan dan kerja lapangan untuk membolehkan pelajar memperoleh pengetahuan dan kemahiran keusahawanan teknologi maklumat. Pelajar perlu diberi pendedahan ini supaya dapat menjadi penggalak kepada pelajar untuk menceburi bidang keusahawanan teknologi maklumat. Pelajar juga perlu mendapat kesedaran tentang impak keusahawanan teknologi maklumat kepada masyarakat dan ekonomi, serta dapat menilai baik dan buruk implikasi pada masa akan datang.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2102","PENGURUSAN MAJLIS DAN PROTOKOL","2","C1","","Kursus ini memberikan ilmu pengetahuan tentang Pengenalan kepada Pengurusan Majlis dan Protokol, Tatacara Pengurusan Acara dan Elemen-elemen Protokol bagi membimbing dan melatih pelajar tentang keseluruhan tatacara yang perlu diketahui dalam pengurusan acara dan protokol sesebuah majlis.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2112","SEJARAH PEMIKIRAN I","2","C1","","Kursus ini bertujuan membangunkan minda pelajar melalui input asas sejarah pemikiran manusia. Kursus ini berorientasikan aktiviti akademik seperti perkuliahan, refleksi penulisan, pembentangan dan diskusi ilmiah dalam kerangka penilaian berterusan, bagi melahirkan pelajar yang beretika, berjati diri dan berfikiran intelek. Melalui kursus ini, pelajar akan didedahkan dengan pengetahuan mengenai sejarah, perkembangan, sumber, faktor, kesan pemikiran, langkah penyelesaian serta hasil kajian kuantitatif dan kualitatif terkini. Proses pengajaran dan pembelajaran akan dilaksanakan berdasarkan pengalaman pembelajaran, pembelajaran berasaskan masalah, dan Service Learning.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2122","ETIKA PERBANDINGAN","2","C1","","Kursus ini memberi pengetahuan asas teori-teori etika dan tindakan moral dari perspektif ahli falsafah Yunani, Agama Islam, Hindu, Buddha, Confucius, Yahudi dan Kristian. Isu-isu semasa yang berkait dengan etika dan moral akan dibincangkan, faktor-faktor yang menyebabkan permasalahan etika dan moral serta akaibat daripadanya. Ia juga akan menyentuh beberapa contoh tentang permasalahan etika dan moral seperti amalan rasuah, pengguguran bayi, euthanasia, gangterisme dan pergaulan bebas. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk pengalaman pembelajaran, pembelajaran berasaskan masalah, dan Service Learning.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2142","PENJAGAAN KESIHATAN DIRI","2","C6","","Kursus ini mendedahkan para pelajar kepada isu-isu kesihatan masa kini khususnya yang berkaitan dengan cara hidup generasi di zaman ini. Pelajar akan didedahkan kepada punca dan risiko penyakit terhadap manusia. Melalui pendedahan ini, pelajar dijangka dapat memahami konsep penjagaan kesihatan diri serta boleh memainkan peranan dalam kesejahteraan keluarga dan komuniti. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk forum dan pembelajaran berasaskan masalah.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2152","HAK ASASI MANUSIA","2","C1","","Pelajar akan didedahkan kepada pembinaan sistem, undang-undang dan norma yang berkaitan dengan hak asasi manusia di dunia hari ini. Sejarah perkembangan hak asasi manusia akan dijelaskan termasuk sumber-sumber politik, agama dan falsafah. Isu-isu penting berkaitan hak asasi manusia akan dibincangkan, termasuklah keunikan hak asasi manusia di Malaysia dan peranan Suruhan Jaya Hak Asasi Manusia Malaysia (SUHAKAM). Perbincangan dibuat dari perspektif ideologi dan budaya, sistem-sistem nasional, serantau dan Pertubuhan Bangsa-bangsa Bersatu.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2162","PENGENALAN KEPADA ALAM DAN TAMADUN MELAYU","2","C1","","Kursus ini bertujuan memperkenalkan kepada pelajar konsep Alam Melayu dan bidang pengajiannya kepada pelajar. Pelajar akan didedahkan mengenai teori, konsep, hasil kajian yang berkaitan. Melalui kursus ini, pelajar berupaya memahami kompleksiti alam Melayu dari segi budaya, bahasa, sains sosial, sains tabii, falsafah dan sebagainya. Di samping itu, pelajar juga didedahkan dengan kepentingan mengenali alam Melayu dan isu-isu yang wujud di persekitaran mereka. Secara keseluruhannya, pendedahan mengenai kursus ini dilihat dari pelbagai perspekif dan melibatkan bidang yang multidisplin. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk pengalaman pembelajaran, pembelajaran berasaskan masalah dan Service Learning.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2172","PENGURUSAN PERSEMBAHAN SENI","2","C1","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2182","SUKARELAWAN SOSIAL","2","C1","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2192","GENDER DAN PEMBANGUNAN MENUJU NEGARA BERPENDAPATAN TINGGI","2","C1","","Kursus ini membincangkan konsep asas, latar belakang dan realiti sosial masa kini hubungan etnik di Malaysia dari perspektif kesepaduan sosial. Tujuan kursus ini ialah memberikan kesedaran dan penghayatan dalam mengurus kepelbagaian ke arah pengukuhan negara bangsa. Pengajaran dan pembelajaran akan dilaksanakan dalam bentuk pembelajaran berasaskan pengalaman melalui aktiviti individu, berpasukan dan semangat kesukarelaan. Di akhir kursus ini, pelajar diharapkan dapat mengamalkan nilai-nilai murni, mempunyai jati diri kebangsaan, dan menerima kepelbagaian sosio-budaya etnik-etnik di Malaysia.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2202","PEMBENTANGAN UNTUK MEMPENGARUH","2","C2","","Kursus ini bertujuan memperkenalkan kepada para pelajar teknik mempengaruhi audiens di dalam persembahan lisan. Penekanan akan diberikan kepada empat prinsip utama iaitu: • Ethos, Pathos dan Logos • Bercerita (Storytelling) • Retorik (Rhetoric) • Strategi Modified Toulmin Method. Kursus diadakan dalam bentuk kuliah dan latihan. Tumpuan utama kursus ini adalah untuk membolehkan pelajar memberi persembahan lisan yang mempengaruh.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2212","BENTUK-BENTUK PENULISAN","2","C2","","Kursus ini bertujuan mendedahkan pelajar kepada beberapa bentuk penulisan. Pelajar didedahkan dengan penulisan kreatif, menulis email, dan pelbagai isu berkaitan penulisan. Kursus ini dijalankan secara kuliah, pengumpulan maklumat di lapangan, penghasilan tugasan bertulis, dan pembentangan dalam seminar. Di akhir kursus, pelajar akan membentangkan kajian penyelidikan mereka dalam satu seminar.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2222","HUBUNGAN INSAN","2","C2","","Kursus ini bertujuan memperkenalkan kepada para pelajar asas hubungan insan serta kepentingan mewujudkan hubungan insan yang berkesan dalam konteks masa kini. Penekanan akan diberikan kepada konsep kendiri, persepsi, personaliti, komunikasi, motivasi, kerja berpasukan dan menangani konflik dalam pelbagai konteks. Kursus akan diadakan dalam bentuk kuliah, seminar dan kerja lapangan. Tumpuan utama kursus ini adalah untuk membolehkan pelajar menerapkan pengetahuan dan mengaplikasikan hubungan insan yang lebih positif dalam kehidupan seharian.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2232","PEMIKIRAN REKACIPTA","2","C4","","Kursus ini bertujuan menyediakan pelajar dengan kemahiran menggunakan pelbagai bentuk lakaran lukisan rekacipta yang kreatif dan inovatif bersesuaian dengan pembangunan teknologi. Perkara-perkara yang akan dibincangkan termasuklah takrif, konsep, ciri-ciri dan proses pemikiran rekacipta. Perbincangan ini juga turut menyentuh mengenai konsep berfikir secara logik dan lateral dalam proses merekacipta.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2242","KEMAHIRAN MENULIS","2","C2","","Kursus ini akan memperkenalkan para pelajar perkara asas yang perlu ada di dalam sesebuah penulisan. Kursus ini dijalankan secara kuliah, pengumpulan maklumat di lapangan, penghasilan tugasan bertulis, jurnal refleksi dan pembentangan dalam seminar. Pelajar didedahkan dengan penulisan ilmiah dan penyuntingan, ciri-ciri penulisan yang baik, dan pencarian maklumat menggunakan google scholar. Di akhir kursus, pelajar akan membentangkan kajian penyelidikan mereka dalam satu seminar.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2252","PENGURUSAN EMOSI","2","C6","","Kursus ini bertujuan memperkenalkan kepada para pelajar mengenai konsep, teori dan amalan menguruskan emosi dalam kehidupan. Antara perkara-perkara asas yang diperkenalkan adalah tentang bagaimana emosi boleh terbit dan berubah, faktor-faktor menentukan perbezaan terbitan emosi mengikut latarbelakang jantina, umur dan budaya yang berbeza. Mekanisma bagaimana emosi boleh berubah ditekankan untuk diapplikasikan dalam proses mengurus emosi sendiri dan juga orang lain. Pelajar diberi pelbagai pendedahan dan latihan bagaimana mengurus emosi di peringkat individu dalam konteks keluarga dan juga di tempat social dan persekitaran pekerjaan. Latihan-latihan adalah dalam bentuk kerja berkumpulan berpasangan, lakonan, penelitian terhadap kes-kes sebenar melibatkan konflik emosi dan juga pembentangan kajian temubual tentang pengurusan emosi di lapangan.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2262","KEMAHIRAN MEMBUAT KEPUTUSAN","2","C4","","Kursus ini menyediakan pelajar dengan pengetahuan asas mengenai kemahiran membuat keputusan dengan bijak dan efisien. Ini termasuk memberi pelajar kefahaman dan pendedahan mengenai beberapa strategi membuat keputusan berdasarkan model-model membuat keputusan. Di samping itu, pelajar juga dimaklumkan dengan aspek-aspek yang mempengaruhi pembuatan keputusan seperti faktor keagamaan, pengalaman, persekitaran, kognitif, psikologi dan personaliti individu. Aktiviti pengajaran dan pembelajaran (p & p) dalam kursus ini dilaksanakan dalam bentuk pembelajaran aktif seperti diskusi kumpulan, kerja berpasukan, seminar dan mengendalikan projek pembelajaran berasaskan khidmat masyarakat (service learning project).","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2272","APRESIASI TEKNOLOGI MAKLUMAT","2","C5","","Kursus ini bertujuan untuk mendedahkan para pelajar berkenaan kepentingan IT dan peranannya dalam gaya hidup manusia kini yang berteraskan kepada ICT. Kursus ini meliputi perbincangan falsafah, sejarah dan perkembangan IT serta teori-teori dalam perkembangan IT. Di samping itu, pelajar akan diperkenalkan dengan IT secara praktikal yang merangkumi pengenalan kepada komponen-komponen penting IT yang pada umumnya terdiri daripada sistem komputer, perisian sistem, perisian aplikasi dan Internet. Perkongsian maklumat, serta etika maklumat dan undang-undang siber. Penekanan juga diberi kepada penerapan nilai-nilai mulia dalam penggunaan IT yang merentasi pelbagai disiplin.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2282","MEMBINA KEYAKINAN DIRI MELALUI BERCERITA","2","C2","","Kursus ini menggunakan storytelling atau bercerita sebagai bahan pembelajaran untuk menarik minat pelajar mempelajari Bahasa Inggeris dan meningkatkan kebolehan mereka untuk menyampaikan buah fikiran dan berkomunikasi secara baik dan yakin. Kelebihan ini akan memberi pendedahan dan pengalaman kepada pelajar untuk menjalani kehidupan seharian. Kursus ini mengingatkan pelajar bagaimana pentingnya bahasa percakapan dan komunikasi yang efektif. Pelajar akan memilih satu cerita yang dibaca dan menceritakannya semula kepada pendengar. Mereka akan mempelajari komponenkomponen penting untuk komunikasi yang efektif seperti visualisasi, membuat rumusan, mengenal pasti emosi dan perasaan, menambah suara dan pergerakan dan menghubungkannya dengan kehidupan. Semasa mereka bercerita, kemahiran mendengar akan menjadi dua hala. Pencerita akan menggunakan bahasa badan untuk berkomunīkasi dengan pendengar. Segala aktiviti yang dilakukan dan kemahiran yang ditingkatkan akan membantu pelajar dalam kurikulum dan kehidupan mereka.","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2292","KURSUS KEMAHIRAN DEBAT DAN PIDATO","2","C2","","","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
"LMCR2303","PENGATURCARAAN KOMPETITIF","3","C3","","Kursus ini memberi penekanan tentang kepentingan pengetahuan dan kemahiran pengaturcaraan melalui pengaplikasian algoritma yang bersesuaian dalam menyelesaikan masalah sains komputer. Perbincangan asas dalam kursus ini merangkumi kefahaman asas tentang struktur data (linear dan non-linear), algoritma, kaedah menyelesaikan masalah dan kaedah pengaturcaraan. Kursus ini seterusnya membincangkan cara untuk mengenal pasti kategori masalah, sebagai contoh masalah melibatkan matematik, string, graf dan Pengaturcaraan Dinamik; memilih algoritma yang bersesuaian; dan mengimplementasinya menggunakan bahasa pengaturcaraan C++ atau Java. Selain itu, kursus ini menyediakan platform yang sesuai untuk meningkatkan kemahiran yang diperlukan sebagai peserta pertandingan pengaturcaraan melalui pengalaman pengaturcaraan secara kompetitif dalam kumpulan kecil dan dibawah tekanan masa","2022-01-26T22:21:56.000000Z","2022-01-26T22:21:56.000000Z"
